id,start_ip_range,end_ip_range,is_fw,is_lp,type,is_v6
543,2A0104F80C17AF530000000000000001,2A0104F80C17AF530000000000000001,1,0,90,1
544,4E9D3A26,4E9D3A26,1,0,90,0
545,673725D3,673725D3,1,0,90,0
546,676C8CCD,676C8CCD,1,0,90,0
547,B029B56F,B029B56F,1,0,90,0
548,5B5CF589,5B5CF589,1,0,90,0
549,48A732B4,48A732B4,1,0,90,0
550,44B29D6D,44B29D6D,1,0,90,0
551,676A7425,676A7425,1,0,90,0
552,4AD03BF0,4AD03BF0,1,0,90,0
553,84946E66,84946E66,1,0,90,0
554,BB2DEF1A,BB2DEF1A,1,0,90,0
555,59A18D1E,59A18D1E,1,0,90,0
556,524275C7,524275C7,1,0,90,0
557,678B0054,678B0054,1,0,90,0
558,89B8C3FC,89B8C3FC,1,0,90,0
559,7B38562D,7B38562D,1,0,90,0
560,9DE621EC,9DE621EC,1,0,90,0
561,4DDE36DB,4DDE36DB,1,0,90,0
562,6766EA91,6766EA91,1,0,90,0
563,462615E7,462615E7,1,0,90,0
564,0EE8D682,0EE8D682,1,0,90,0
565,67C3EE70,67C3EE70,1,0,90,0
566,26003C0000000000F03C92FFFE38D42F,26003C0000000000F03C92FFFE38D42F,1,0,90,1
567,08DB33B7,08DB33B7,1,0,90,0
